ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT0.75_REP1	ZT0.75_REP2	ZT0.75_REP3	ZT1.75_REP1	ZT1.75_REP2	ZT1.75_REP3	ZT3.75_REP1	ZT3.75_REP2	ZT3.75_REP3	ZT5.75_REP1	ZT5.75_REP2	ZT5.75_REP3	ZT7.75_REP1	ZT7.75_REP2	ZT7.75_REP3	ZT9.75_REP1	ZT9.75_REP2	ZT9.75_REP3	ZT10.75_REP1	ZT10.75_REP2	ZT10.75_REP3	ZT11.5_REP1	ZT11.5_REP2	ZT11.5_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT12.75_REP1	ZT12.75_REP2	ZT12.75_REP3	ZT13.75_REP1	ZT13.75_REP2	ZT13.75_REP3	ZT15.75_REP1	ZT15.75_REP2	ZT15.75_REP3	ZT17.75_REP1	ZT17.75_REP2	ZT17.75_REP3	ZT19.75_REP1	ZT19.75_REP2	ZT19.75_REP3	ZT21.75_REP1	ZT21.75_REP2	ZT21.75_REP3	ZT22.75_REP1	ZT22.75_REP2	ZT22.75_REP3	ZT23.5_REP1	ZT23.5_REP2	ZT23.5_REP3
sub_1	1531.24	1873.98	1623.58	1878.38	2166.67	1760.3	2039.57	2284.06	2337.88	2191.46	2083.89	2188.35	1934.63	1700.39	1981.27	2351.52	2117.54	1918.97	2144.92	1707.07	2019.27	1656.47	2273.27	1929.24	1100.57	1638.7	1529.58	1721.12	1204.62	1523.9	1130.57	1759.39	1407.02	1017.1	1315.8	1317.97	1063.5	1441.59	1275.82	1407.44	1371.83	990.059	1490.03	1063.38	1270.86	1457.22	1115.02	1608.3	2055.61	1451.05	1743.16	1539.4	1620.1	1899.95
sub_2	727.807	667.188	592.598	630.735	736.746	689.035	789.524	793.319	1081.22	995.666	967.906	1045.16	1086.17	873.146	986.408	999.533	864.41	756.779	741.917	678.328	710.776	734.848	845.54	698.573	485.974	715.354	609.182	595.724	409.604	656.771	560.055	520.794	485.549	360.783	537.614	496.408	398.158	542.52	419.262	463.735	497.299	371.871	482.3	394.502	469.554	529.309	375.477	509.201	832.042	503.636	575.12	629.562	533.435	673.377
sub_3	99.5025	78.529	72.7563	100.932	86.0352	68.8764	94.1822	100.453	102.301	111.773	106.656	106.866	88.3088	101.151	111.768	135.405	136.387	120.365	142.077	119.205	142.238	111.87	124.382	122.134	91.0676	98.1298	112.132	143.229	87.859	94.0263	90.0241	102.03	98.8694	68.0374	104.598	96.6297	64.263	82.357	85.1117	66.4221	77.098	70.9735	90.3799	51.9855	76.6291	64.6489	43.4668	96.1954	70.1677	59.2036	67.3667	67.3004	81.2609	88.8771
sub_4	203.172	196.556	192.739	175.845	183.498	237.079	235.521	216.279	294.318	274.672	251.652	280.744	247.405	279.715	305.75	289.608	311.423	312.209	336.601	310.615	286.787	266.67	318.346	280.255	206.201	211.952	276.022	281.722	202.182	249.363	199.487	289.241	201.682	154.928	214.09	187.449	188.239	138.71	189.513	182.816	209.544	148.036	159.072	162.438	183.664	194.437	161.004	204.801	254.496	151.018	243.583	195.312	180.536	187.629
sub_5	4617.06	4824.65	4332.34	5057.73	5263.9	5299.99	4630.65	5152.42	4925.44	4508.41	4363.56	4300.37	3944.21	4218.51	4299.02	4212.3	4181.85	3598.35	3595.97	3253.47	3767.62	3368.87	3965.05	3712.8	2593.65	2919.99	3156.91	3360.28	2599.14	3401.4	3048.6	3445.03	3398.02	2834.64	2980.72	2943.21	3176.77	3883.69	3381.95	4038.77	3820.3	2906.23	3714.26	3009.44	3355.33	3646.63	3563.7	3861.18	4535.57	3645.39	3705.74	3681.44	3769.36	3892.37
sub_6	449.46	396.198	473.282	371.693	404.868	316.489	312.841	330.984	370.41	304.591	257.274	284.764	206.769	303.211	338.059	342.705	387.58	294.822	674.603	514.858	658.232	808.263	1140.08	951.01	897.753	976.974	1244.94	1175.59	840.849	1170.24	1049.39	1208.07	1199.13	994.53	1329.99	1137.43	1031.52	1111.05	1041.02	728.195	752.631	735.55	760.27	630.384	821.862	508.822	455.985	635.12	560.365	476.232	459.899	307.602	347.485	487.564
sub_7	558.686	581.858	516.858	623.048	706.173	619.972	628.851	542.829	698.727	702.665	750.848	730.96	615.623	725.258	612.012	782.378	664.138	685.505	593.43	608.242	538.103	468.379	670.271	619.758	333.192	592.129	476.55	455.457	443.931	518.764	384.645	402.481	378.2	339.381	371.753	326.738	303.764	325.926	291.577	326.612	347.954	274.092	423.388	365.3	414.255	408.791	289.144	444.836	582.155	396.196	541.898	489.318	451.693	611.008
sub_8	220.188	236.51	187.183	227.538	255.676	256.778	210.499	250.809	246.961	233.154	223.792	222.52	174.149	209.929	231.242	227.285	211.695	197.51	179.602	170.092	159.415	145.043	234.614	187.88	132.626	172.486	143.999	198.425	134.311	150.245	124.412	211.515	156.288	113.783	138.369	145.194	126.904	179.239	133.74	157.937	160.555	137.843	142.395	122.821	147.833	159.388	174.632	147.667	230.663	187.478	183.638	191.701	197.037	190.838
sub_9	1085.43	920.405	1511.21	865.665	1116.08	853.444	1006.17	909.934	1087.51	1316.61	964.52	1138.83	1044.83	1082.05	1380.02	1182.23	1124.03	1110.36	1334.89	1086.97	1419.9	1221.72	1652.28	1421.82	1529.34	1344.65	1361.33	1546.67	1031.09	1498.42	1223.04	1578	1445.95	1133.8	1381.95	1365.65	1225.41	1228.26	1088.1	1283.6	1301.2	982.82	1166.64	1091	1106.8	1111	796.791	1151.7	1102.35	949.664	1133.76	950.425	969.318	1070.05
sub_10	3234	3472.61	2709.86	3358.35	4154.67	3097.21	3682.32	3991.3	3786.64	3305.43	3194.2	3186.81	2848.96	2992.13	2881	3227.14	3099.5	2715.2	2834.84	2579.73	2676.36	2582.01	3326.66	2800.05	1737.44	2389.64	2204.12	2479.85	1934.43	2430.9	2168.59	2536.74	2434.53	2013.3	2125.68	1980.23	2045.28	2497.45	1962.82	2498.14	2574.45	1950.24	2442.63	2253.19	2509.62	2678.35	2473.52	2705.39	3329.07	2766.15	2752.68	2429.05	2735.48	3207.2
sub_11	4246.31	4188.74	3547.52	4486.23	4476.28	3555.27	3846.05	3894.54	3778.24	3012.3	3151.29	3139.89	2500.92	2634.53	3073.17	3569.11	2761.57	3085.3	3249.37	2450.65	2986.38	3061.05	4263.33	3540.05	2936.07	3455.85	3288.73	4029.39	3000.92	3548.41	3340.91	4103.56	4496.89	3326.78	4296.4	4117.93	4134.77	4346.93	4178.03	4954.72	5025.25	4069.83	4407.2	3596.58	4324.03	4025.43	3439.32	4356.47	4394.19	3711.7	4040.12	3397	3393.96	4172.55
sub_12	6345.65	7130.16	7633.45	6784.93	7629.15	7968.96	7661.1	8255.1	6814.84	7209.29	6415.95	7211.03	5350.58	5865.06	8090.57	7885.73	5708.56	5803.9	5770.99	4724.33	5203.92	5113.94	7084.09	5764.44	3551.16	3821.09	4523.06	5107.43	3887.48	3950.06	4691.21	5439.54	5034.22	3749.08	3848.5	4740.88	5254.04	4399.68	3973.4	4799.22	4727.37	4388.45	5217.97	3778.74	4940.3	5353.67	5244.45	6384.52	6220.32	5921	6321.46	6084.58	5246.43	6520.7
sub_13	861.606	793.737	744.355	751.073	820.435	714.41	806.625	956.105	725.661	696.703	623.378	619.913	495.869	615.028	519.876	641.312	726.531	603.637	698.482	525.42	606.327	599.158	883.285	688.868	536.099	688.664	616.495	682.059	454.014	693.098	653.769	690.448	652.345	563.537	626.97	645.693	704.116	649.494	666.547	772.354	767.096	497.698	732.704	592.958	601.508	607.119	520.958	740.328	686.859	639.621	656.221	550.149	671.657	624.56
sub_14	678.791	613.107	672.987	662.301	797.711	649.077	626.609	715.861	705.41	678.879	641.784	577.927	675.582	681.669	750.017	1036.5	885.102	714.796	1123.07	873.036	1107.94	1146.4	1589.39	1326.69	959.36	1199.48	1231.76	1165.3	970.312	1298.43	1180.06	1513.93	1427.62	845.237	976.664	1116.7	1017.86	857.349	965.424	836.513	857.936	619.66	627.175	622.951	645.499	622.591	576.075	812.16	583.904	562.327	638.784	521.465	554.545	623.228
sub_15	610.945	602.81	592.905	765.607	699.877	640.211	712.571	678.241	779.485	652.432	778.938	739.957	671.883	682.819	734.517	789.596	797.034	781.283	678.557	745.861	652.022	666.035	806.775	830.902	386.927	677.368	594.513	607.178	492.547	645.444	457.736	585.384	558.788	407.781	467.265	413.744	388	474.383	416.758	415.911	403.433	360.156	383.244	376.531	375.823	445.48	336.102	529.159	652.816	381.887	477.85	460.077	435.008	637.572
sub_16	778.467	758.889	614.067	824.634	877.394	744.988	782.203	797.706	808.623	679.237	743.746	766.918	638.771	700.627	673.449	852.437	695.327	687.515	561.016	614.241	565.936	445.427	776.47	661.466	314.251	550.285	463.791	593.207	374.186	523.011	401.277	536.475	497.547	375.844	413.301	414.528	443.198	509.815	423.644	513.974	543.907	413.916	467.575	489.947	505.839	565.152	470.345	652.675	772.948	461.947	677.027	687.353	567.527	682.196
sub_17	300.428	158.413	348.65	214.942	229.038	335.602	168.45	428.363	328.416	237.036	292.188	136.031	171.63	228.806	223.627	113.616	169.738	187.073	157.021	153.313	184.538	204.219	148.678	132.404	373.68	194.801	242.616	279.854	196.392	284.745	181.818	295.861	296.054	341.487	244.878	260.267	273.893	161.945	314.332	409.816	411.036	295.983	306.628	220.208	271.177	287.844	304.97	294.178	198.09	315.897	343.265	180.743	361.389	382.218
sub_18	68.6965	98.9872	102.234	96.2483	77.4154	84.1038	73.5494	102.366	99.9778	89.9469	92.1751	76.3892	87.9695	89.3673	87.1285	101.93	133.079	71.547	93.4766	96.2114	104.108	106.068	103.504	105.913	88.6884	97.7683	94.1725	100.268	74.6009	91.6228	88.0772	102.136	106.293	76.9145	91.7301	86.0609	91.9217	92.3258	81.8662	84.0905	97.945	70.4484	87.2526	80.3691	79.5507	88.7165	57.6343	97.0938	92.3942	76.875	88.2777	73.1499	71.8863	124.452
sub_19	657.637	984.307	477.097	915.926	989.188	960.723	1175.14	1160.2	1302.86	1431.17	1102.01	1369.48	1094.98	999.461	1176.36	1604.55	1276.92	1183.17	1613.08	1550.81	1445.03	974.023	1306.29	1493.09	608.716	969.163	924.862	983.876	417.129	909.682	749.373	886.67	653.715	421.967	592.376	638.161	540.277	539.519	325.023	467.91	466.629	413.146	450.47	422.935	420.324	506.392	346.333	471.868	740.45	497.678	618.041	607.882	659.103	604.327
sub_20	468.93	396.34	346.218	371.159	411.018	390.997	314.949	368.061	464.904	471.434	391.507	345.314	385.649	451.337	496.973	558.197	706.466	505.179	608.276	640.396	644.639	598.187	700.963	589.68	559.5	457.563	647.093	815.88	480.268	594.88	574.219	680.656	583.006	428.996	464.289	481.214	462.418	315.093	468.234	463.966	423.436	352.159	404.59	338.089	371.134	320.356	309.79	353.716	374.229	296.8	331.889	325.495	227.913	311.053
