ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1
sub_1	0.23376140946720442	0.26753356594805094	25.069239	22.742391540517115	0.1677893650819458	4.851083124130815	0.15433714	0.0	4.998369371	4.959418847	4.361383351	4.507771175	5.122997303	4.959574855	4.933553704	5.019186195	5.012673808	4.678810618	4.883177158	4.861081888
sub_2	0.0465930800254723	0.07015047677858122	26.034136	23.203383865967695	0.1742691131288704	7.490868534113972	0.5987678	0.0	7.510881127	7.503299495	7.22368196	7.367460611	7.616223732	7.508166891	7.946866752	7.561501453	7.398788697	7.210955619	7.466465607	7.394768958
sub_3	0.0021403806693554095	0.007512767517986623	23.971758	6.867402772686648	0.511367645656652	6.274422647604585	0.9902373	0.0	5.700594865	6.683934175	6.696318106	6.224298057	5.818147785	5.448099665	6.431125059	6.757143983	6.726405069	6.456567612	5.976511508	5.870181636
sub_4	0.019174980541993916	0.03616097131519067	22.740368	0.0	0.1606011353177477	7.559980662681242	0.8309696	0.0	7.868448531	7.772973754	7.450852557	7.511132516	7.685138985	7.567268177	7.825657284	7.532430957	7.335975135	7.434040225	7.553950897	7.6376128
sub_5	0.18589471449798345	0.21899549494474685	23.081503	1.1020605848463956	0.1443900359136418	6.883311615811595	0.19583747	0.0	6.992617016	7.157992015	6.766439334	6.704422097	6.723711038	7.0303046	7.056157094	7.242674918	6.713100242	6.919341912	7.071181639	6.857409852
sub_6	0.010259675935753202	0.023043379680646063	24.941143	6.351209920837895	0.6027797559428729	7.374201214900852	0.9146578	0.0	7.020202404	7.87697373	7.809606137	7.657991546	6.80619431	6.33332831	7.456326463	8.300531173	7.644625366	7.798840883	7.280521306	6.769819183
sub_7	0.05232434727234133	0.07667763311274169	23.31288	21.14905211433328	0.12194851892128832	7.874655292734932	0.5586022	0.0	7.975985597	7.850980451	7.57137214	7.788187913	7.92552963	7.798241584	8.052798369	7.841926984	7.574625516	7.803962584	7.921004262	7.933095845
sub_8	0.0021403806693554095	0.007512767517986623	21.999659	3.5013544100723006	0.4204985031543862	8.137313993221106	0.9905496	0.0	8.156816502	8.577372928	8.049745206	7.795801078	7.871928543	7.773865001	8.664187707	8.573754421	7.737773102	7.802163806	7.935000623	8.090755644
sub_9	0.13841717965046346	0.16994658848061858	21.309784	0.3391557449562549	0.12426618890405583	7.060419444013896	0.26274806	0.0	7.138147721	7.333355474	6.900218684	6.896565597	7.164995286	7.082373548	7.329962723	6.985308297	6.974824434	7.084107506	7.222014944	7.12600443
sub_10	0.0024587844052925776	0.008239909492549987	26.262827	10.867632681916865	0.4718513617388608	6.117745319855038	0.98830426	0.0	5.662995897	6.138609136	6.923487808	6.4078625	6.259158936	5.835338802	5.889192279	5.589383013	6.587780034	6.535401639	6.493235388	6.183303868
