ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_0_REP_2	TP_3_REP_1	TP_3_REP_2	TP_6_REP_1	TP_6_REP_2	TP_9_REP_1	TP_9_REP_2	TP_12_REP_1	TP_12_REP_2	TP_15_REP_1	TP_15_REP_2	TP_18_REP_1	TP_18_REP_2	TP_21_REP_1	TP_21_REP_2	TP_24_REP_1	TP_24_REP_2	TP_27_REP_1	TP_27_REP_2	TP_30_REP_1	TP_30_REP_2	TP_33_REP_1	TP_33_REP_2	TP_36_REP_1	TP_36_REP_2	TP_39_REP_1	TP_39_REP_2	TP_42_REP_1	TP_42_REP_2	TP_45_REP_1	TP_45_REP_2
sub_1	0.22250089	0.27521405559893525	24.101604	5.370245281128627	0.1301632621378102	-0.08602581339309624	0.9811405	0.7374019026918058	0.1238174579	-0.0308393408	0.1043867022	0.0252435904	-0.000537412399999995	-0.0384263433	0.2218828899	-0.0939144646	0.0050262521	-0.0645299749	-0.068232717	-0.2218271874	-0.4254000679	-0.1794071437	-0.3061655657	-0.1847286544	0.0394286063	-0.1026850259	0.1107053687	-0.0837164655	-0.0791893482	0.000455358799999999	0.2243351698	-0.1458366252	-0.2999511036	-0.1186116414	-0.3310792796	-0.091433756	-0.3143859786	-0.1068989716	-0.3588299433	-0.0667565381
sub_2	0.011358615589257383	0.025621213804894485	25.899593	15.25157873309967	0.11048021831743547	-0.08152183138780457	0.085754305	0.3270802395711889	-0.6478485633	-0.5803001654	-0.6421964034	-0.1851870376	-0.298361159	-0.2107276442	-0.2232191614	-0.020493198	-0.0144378934	-0.0626768669	0.0824747484	-0.1039839182	-0.2223070997	0.0421442606	-0.0205464391	0.0094160639	-0.0534202469	-0.0671038078	-0.1333677301	-0.1112797371	-0.0753784038	-0.1120574737	-0.0577638768	-0.0795499507	-0.0599986724	-0.0416666968	-0.0401623159	0.0770328395	0.1346014889	-0.0013573962	0.1259915584	0.018156317
sub_3	3.2041383208690105e-07	1.3958027560285626e-05	22.137047	6.694118809208477	0.2405468571071641	0.03308400723140037	0.9843552	0.253236343477745	-0.4814815663	-0.3053261889	-0.000486202999999999	0.0970911127	0.1961832376	0.340129902	0.0725090219	0.2847896746	-0.0654128899	-0.040003256	-0.2172535335	-0.139547922	-0.0525355864	-0.1578644544	0.014473782	0.0082275554	0.3058874922	0.038865173	0.3774748986	0.3573601237	0.2624251085	0.4404517753	0.2521099538	0.1076680765	-0.1107296299	-0.1597404991	-0.2647147768	-0.2028248635	-0.0911060088	-0.2391948339	0.0383136771	0.0457286968
sub_4	0.01361889	0.02961736764430577	23.351234	19.325614816521945	0.18891547640895304	-0.12992618872146117	0.88579696	0.5463392391338102	0.00206261360000001	-0.1091726809	-0.4501172331	-0.1362170243	-0.2614235832	-0.1325604216	-0.3787024103	-0.2606367796	-0.007307608	-0.2189377602	0.0302332015	-0.2363754492	-0.2745985549	-0.0520192235	0.1694989752	-0.0487254148	-0.1062542979	-0.0425216741	-0.2624446518	-0.2484537437	-0.253945842	-0.3065924525	-0.4056332267	-0.2010677671	0.0728527901	-0.118557553	0.1029084412	-0.1499609914	0.0778714016	0.0789369788	0.2857220425	0.0856872481
sub_5	0.0005534961206821477	0.00313198344	23.653988	3.764649095657399	0.1340248758801585	-0.11914883925095052	0.6062426	0.41731929335953133	0.192985704	0.1277431226	0.0069914723	0.1801944427	0.0684825603	0.0116510126	0.0899153358	-0.061489223	-0.1622800392	-0.1653381031	-0.0865091047	-0.2070174024	-0.4175650724	-0.1317376509	-0.1632277959	-0.100445388	-0.1114720532	-0.0462185213	-0.1161416042	-0.08543082	-0.1671344517	-0.0328966851	-0.1048598644	-0.1052608322	-0.3108126099	-0.2294477083	-0.3333564371	-0.1890692332	-0.2589211206	-0.1833860049	-0.272317601	-0.0564447933
sub_6	0.07134241000000001	0.1044656717857143	22.483301	6.0831584790200255	0.0809118455776853	-0.10981350700965323	0.9960282	0.6376384750453554	-0.1510465113	-0.2122537009	-0.1231328156	0.0315376121	-0.0048573093	-0.0527774238	-0.0093774339	-0.157578355	-0.0809561662	-0.1717897474	-0.0983784091	-0.2503163315	-0.1863336531	-0.2322315457	-0.102140007	-0.1858672288	-0.0168117471	-0.0820152777	-0.0678657006	-0.0523065358	-0.066339738	0.0070318118	-0.0963872293	-0.0392703674	-0.2426492202	-0.0811053276	-0.1575166202	-0.145721111	-0.1692255204	-0.2306656648	-0.1000768512	-0.0923687596
sub_7	7.000572874899441e-05	0.0008132332156341517	24.848309	4.350204248842224	0.3122099068841938	-0.06865911953232345	0.8659092	0.27311012321698247	0.6757768981	0.6225871687	0.7032559096	0.4438198572	0.6132942958	0.443881807	0.5193079473	0.3349759368	0.1372618267	0.0999279059	-0.131760613	0.0253871585	-0.3191696195	-0.1169763821	-0.2841949298	-0.1802776182	-0.0195685316	0.0670731166	-0.0729410617	0.154260026	-0.1622885219	0.0657032483	0.0349605607	-0.1192909681	-0.3141292007	-0.2164579267	-0.5578297625	-0.330414086	-0.5804547192	-0.2375367364	-0.6410605063	-0.1434110073
sub_8	0.00072361	0.0037359716296296295	23.377369	2.2323742927291432	0.13690972555160635	-0.008961220377149116	0.98804015	0.44378255312155696	0.2844614948	0.2906537776	0.0534207053	0.2895983229	0.0450486799	0.0868880594	0.0631150312	-0.0266903402	-0.1993139331	-0.044166147	-0.254453669	-0.084914363	-0.2696510146	-0.0140175779	-0.0879731064	0.0442772923	0.0515449251	0.1742849362	0.0157089069	0.0728776152	-0.0478411706	0.0761315805	-0.0384862886	-0.0484763643	-0.1996402234	-0.1327449734	-0.0981662029	-0.0132535989	-0.057153576	-0.0365948603	-0.0518919887	0.0810371495
sub_9	0.0002282059905881741	0.0017871862408983972	27.21873	3.898796014478606	0.10166526930027503	-0.02001875829358462	0.75031435	0.2838642740754741	0.1928620592	0.196115457	0.189028568	0.2582966897	0.2418805785	0.1797971076	0.1620549461	0.0485259969	0.014744705	0.0204067026	0.0022643936	-0.0354242231	-0.0787024217	-0.1026916202	-0.108378243	-0.0764379983	-0.1002579502	-0.0820054405	-0.0098937796	-0.0371789246	0.0247264579	0.000582887699999996	0.0852736543	0.0153690498	-0.1062496718	-0.0229731715	-0.1633666751	-0.0266929359	-0.1948093491	-0.0055842902	-0.2341010858	-0.0696943808
sub_10	0.0024700900000000003	0.008943650545454547	27.691725	13.662552131208948	0.21004064112872886	0.03623093291546223	0.90074295	0.4802583057514216	-0.3186164261	-0.0172174255	-0.0345225981	0.1187800002	-0.0209565833	0.1566742392	0.0682212082	0.3273385201	0.0656445918	0.1426753713	0.1279790061	0.1423547263	0.0306055099	0.2247080619	-0.0842258438	0.1058138431	-0.1571004957	-0.1890774966	-0.2185596371	-0.1876544638	-0.2351831283	-0.1306803195	-0.352140802	0.0178200163	0.2363726459	0.1014363185	0.3198412817	0.255852136	0.4177570912	0.1834860433	0.4141387293	0.0950970162
sub_11	0.07890480999999999	0.11320656807810894	23.730965	5.66535049512099	0.12869815877321125	-0.03509570059133818	0.9957982	0.6448958736115531	0.0652051574	0.0294920407	0.1042849809	0.042660172	0.1837371864	0.0501738409	0.2450383471	0.0849627512	-0.1221256687	0.0017760717	-0.1410374657	0.0220576202	-0.2540702349	-0.0927511378	-0.2446650606	-0.0966444652	-0.0066564699	0.0824091173	-0.020880034	0.0521471929	-0.0164991998	0.0748640861	0.1615172353	0.0170061393	-0.2398380619	-0.0372301746	-0.2766040344	-0.0541818325	-0.2442790449	-0.0342689211	-0.2885836203	-0.0080007405
sub_12	0.00685584	0.017930658461538462	24.731178	14.95713923487841	0.08979688961680143	0.06202169830823928	0.7045187	0.518874646644572	-0.0361711944	-0.0254022687	0.1564253567	0.073443763	0.0419767569	0.0583512501	-0.0383112336	0.117764272	0.113479737	0.1438260113	0.0590654491	0.0848058566	0.3282442125	0.0796918808	0.0464491468	0.0572643809	-0.0375818145	0.0104340006	0.0770339045	0.0022114321	0.0062856523	-0.0238819531	-0.0780220161	0.1053977795	0.1522817897	0.2316092207	0.2735912831	0.1562091934	0.2883519747	0.1087536338	0.0916866647	0.0615755019
sub_13	0.0036363468544616142	0.011391162955324698	23.647839	15.43104866230534	0.09488295908678987	0.05270200966936703	0.215486	0.286499200226095	-0.3012324213	-0.2369971873	-0.2045202507	-0.1311067283	-0.1880246286	-0.1222107145	-0.1514133836	0.0807820984	-0.104049865	0.017992956	-0.0295300641	0.1066775892	0.1632161747	0.0991313505	-0.0304141438	0.0554912281	-0.0092622666	0.0046907377	0.0317048338	0.0497648615	0.077670518	0.0033840203	0.1193084772	0.1273965195	0.0787390707	0.146703671	0.2232940281	0.1724549383	0.192134691	0.1493532141	0.1170556511	0.0883628518
