ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1	4.784343197	5.181887747	4.574820772	3.276517023	3.272110424	1.600251719	1.951051182	3.688925768	2.47832115	7.474400623	5.308999249	5.818079264	8.071781814	10.59891656	9.807859907	14.87771973	14.77565692	10.48510201
sub_2	14.67854836	20.8304165	23.71824849	11.95017338	12.66806264	7.659921157	1.843721662	5.583360582	5.027787971	4.153582923	2.107724965	5.593415179	4.691394922	5.027135612	4.619948001	13.89373866	13.37674542	9.799469327
sub_3	9.212964701	7.492036104	13.27869844	3.398829839	3.502062905	2.142124897	0.388611102	0.706784521	0.711556151	0.491849959	0.282846165	0.718342415	1.387442343	1.478180667	2.295018861	9.790501615	8.185522002	8.517864198
sub_4	40.43003984	40.7620441	33.43361394	40.58680237	31.03654536	32.71372529	33.45144423	39.17673483	47.88494928	46.8875352	40.76180708	55.46446818	51.00799415	55.8249525	43.50474811	44.99512996	42.34716726	44.48696514
sub_5	17.6720644	17.29739841	13.59075154	22.44268787	18.13239842	20.45576153	19.95803107	23.75181177	26.52453344	31.82116969	25.29131271	33.13223014	31.53728559	31.41022693	33.69755973	25.46271465	22.76410083	26.38144143
sub_6	6.379658307	6.21820958	5.283232576	9.837284849	10.81846117	10.03036365	7.551920638	15.44399967	20.79079748	20.41448664	13.892808	23.0544066	15.59862866	16.68919296	15.4624898	11.21216929	9.851865125	9.822843934
sub_7	12.35631998	12.44198487	15.58279077	11.03738441	11.79061802	8.987345365	3.500933604	7.916650086	6.245690056	5.417361549	3.664575151	6.967914141	6.15834037	7.090386669	8.609334837	11.49131506	12.84986596	10.2629328
sub_8	10.27862871	8.562176089	20.00775946	11.50918283	14.93532595	6.331750754	2.430014705	5.963684187	8.442416667	7.218050035	4.863810962	8.792018061	15.99313847	15.84066009	17.28862541	24.05951029	20.52553762	14.59470106
sub_9	46.14956898	48.23075744	42.50337108	29.38441453	29.89607669	15.80656263	10.65429859	25.71667197	18.23897161	18.47249919	12.9960743	20.70221353	21.75922956	28.024034	25.77176077	37.11054664	41.11851567	24.60615395
sub_10	10.33731924	10.91178807	7.036410697	10.57064104	9.83684282	7.647155547	6.429291473	13.52522215	10.4750662	17.77731612	12.2730437	20.8508112	13.88575411	19.03923947	14.50110014	13.28069018	13.41849501	11.576632
sub_11	41.06584482	31.65916535	32.25251367	29.35564965	33.35693845	32.3647318	16.34137529	28.55490004	24.50802323	22.70785946	18.91176016	31.12276061	29.38789244	27.3573116	30.9378652	36.61819552	34.49804731	40.21634835
sub_12	30.52833618	40.55815891	41.45876406	24.38801359	25.84333021	16.01069569	5.894518789	10.42233357	9.340184938	12.46031305	9.422698623	13.55376747	18.17433224	16.44549105	16.32067232	35.4311349	27.92616798	26.07714534
sub_13	2.139349801	2.087037387	1.346469641	3.944692346	3.724868244	3.532417658	6.876391278	9.588660446	10.72487359	11.70841683	8.768105873	11.13052044	7.409698426	6.488544527	5.338952411	3.588041988	3.863182619	3.76798218
sub_14	1.885190423	2.391035035	1.053947761	1.391581656	3.344883423	2.612921578	5.133462502	5.660158553	5.737496399	7.998683147	6.269486578	7.390776369	4.230540102	6.187469693	6.103838078	2.098513054	2.168359225	2.611072547
sub_15	7.246383458	5.400228042	8.033763127	3.560874021	4.305438871	2.349617864	1.643012325	3.14844762	4.12987511	4.300522705	2.895606336	5.603010307	8.167819961	7.50844977	8.568422796	10.71389541	8.541137837	9.445789321
sub_16	5.630435398	3.784072838	3.726759282	0.615848903	0.589606569	0.134194491	0.228397904	0.466262566	0.195047093	1.703473817	1.157530376	1.155648669	4.896508996	3.768545077	4.0077182	7.167637008	7.194822419	4.957394482
sub_17	20.13073005	21.84164865	14.6432867	15.08172656	15.61199102	10.8393759	10.54621228	20.94983099	16.0606613	28.47346098	20.7153355	24.1142515	29.35374063	26.5341646	24.3715305	30.85622346	28.28688829	29.176292
sub_18	32.43246552	25.35306251	24.09162532	27.51501326	24.68230838	20.57302312	25.62713295	54.2858627	55.1755189	36.29526081	30.10965618	50.8216979	41.67437406	52.79136967	53.62501844	33.22145866	39.51117501	37.83728337
sub_19	1.371131181	2.284287872	1.305301449	1.088250074	1.358971239	2.319764523	7.83063606	4.65693953	3.574277625	10.81913615	11.257242	6.648748976	6.706088407	4.261074668	4.090483966	2.647520705	2.310095877	2.620018025
sub_20	9.970640345	8.681019852	9.075310825	5.163198264	4.107025104	4.393927799	2.369756787	3.136020155	3.856863423	3.386872267	2.151278026	3.901082943	3.847949739	4.804646408	6.454771223	10.77051061	9.003055066	9.904219112
sub_21	293.3576321	272.8371722	242.2179109	289.1104308	266.9381185	315.4647296	135.7443487	145.5578664	231.7438844	115.2183149	101.4423819	124.0452793	116.0669147	144.4876139	124.4368218	216.9047467	180.7514342	207.6600444
sub_22	12.4079491	11.93391537	14.67728814	10.742686	10.54097866	8.061845048	4.091560565	6.327810846	6.054885634	7.603395886	4.878483092	8.170117928	8.320973667	8.028679292	12.00552995	13.96761843	17.02201851	10.74170823
sub_23	16.3852255	15.81201865	12.43539603	17.52567195	15.19067348	15.28824913	4.795149654	8.477687764	11.08929717	2.879110677	2.581691033	2.827610729	7.26380468	7.706339189	7.397818472	21.05444836	20.52044422	18.55187143
sub_24	7.664870063	7.071486117	6.401942185	5.496451459	5.18485277	5.254553035	2.335725438	7.088648073	4.911394164	6.38447791	4.97445016	7.431089695	7.823769809	8.49255854	8.946060744	10.53321015	9.772072241	8.813584298
sub_25	0.582400055	0.73318957	0.898181316	1.896768217	3.065446427	1.573607358	2.363650939	5.434606401	6.311444927	5.759996908	4.860567694	5.574000731	5.193388642	6.931552766	7.92699913	1.441079623	2.184697777	1.142029678
sub_26	22.17691857	35.16337974	36.71793804	18.47864375	17.78703931	14.64521978	4.205882995	8.238861945	7.402578235	7.842247499	5.190022129	9.053862786	11.72258691	13.55584718	13.1663013	27.42326467	21.63587045	18.77769682
sub_27	3.776488375	5.424791245	2.547913021	6.564177831	4.913918682	3.195451971	4.936853989	10.93746995	8.396105669	13.87521735	10.30090323	14.90199932	11.46649386	13.98864459	13.13560584	8.544242487	9.071515807	7.196613786
sub_28	6.360394717	5.944573885	5.681110756	3.422538667	4.159780583	3.014842448	0.641404586	2.29718325	1.332528939	0.738555653	1.004869425	1.207583854	3.216550579	3.811464084	5.246178761	4.708470257	3.89393038	4.306108853
sub_29	0.549847207	0.454816447	0.553322574	1.243541054	0.793701151	1.580656263	5.78887115	4.51131449	7.828278986	4.204086023	4.536572311	7.733181218	3.642017386	2.452767682	4.282531555	2.551350081	1.626269419	2.231556188
sub_30	0.92168138	0.345887908	0.984568356	1.561032629	2.350595565	1.849367828	4.215547249	8.448049333	10.94752604	5.156335394	5.509716382	8.730354586	9.046233841	9.379144322	9.128437519	7.711455621	3.197652245	7.490855934
sub_31	3.919290043	4.102401241	4.204552263	4.622515166	6.650538556	2.365098403	2.249475801	7.444180185	6.087304398	9.630816624	6.173402749	9.294991909	6.621335315	7.784439889	9.328859389	6.992670538	6.946970787	4.216336811
sub_32	7.043280887	4.59869963	7.668933775	6.885532873	6.817325959	6.849510474	4.2923738	8.560289296	9.361056474	7.649859271	6.21704518	9.686396302	10.52138356	13.18398238	14.30167079	14.64541216	11.07412033	12.6083768
sub_33	16.37314329	14.65722013	22.19998399	15.50528137	18.35066203	12.57376117	7.483922699	13.62464398	15.38577231	9.432683862	7.226158946	12.66790753	6.910499831	10.45418999	12.52795084	14.16229469	13.09352489	10.12896165
sub_34	15.26763238	14.78489396	14.49878058	16.22344149	18.4011269	18.42612832	10.26741243	18.22217772	18.12520365	22.00874863	21.61862181	24.59170128	28.45801011	33.6446578	32.49404379	30.24654514	27.74822196	27.19709105
sub_35	17.91535946	16.76945117	19.69865751	6.914256306	8.690223178	5.569524733	1.868512834	3.225245283	3.709299307	0.92151603	0.693879663	1.573036862	1.095025697	2.232228782	1.533210155	6.686480502	6.313881135	5.443618532
sub_36	22.57576304	20.34843526	20.47613365	12.76606307	10.38463905	16.07022288	4.358627183	8.734648613	9.161894172	10.55771261	7.788219516	14.15358023	11.18178369	13.27046561	17.95641495	19.11300408	20.7936876	22.55511787
sub_37	11.16118421	10.85003028	9.668773036	7.112005086	10.80387038	7.062366319	4.756937876	10.72933745	8.176216529	10.33214943	6.818306803	7.764896247	12.39852204	10.90809574	12.77759359	11.23859168	9.197926388	8.880682791
sub_38	2.299431006	3.128016823	3.473270463	4.072618707	3.80160079	3.660650104	5.64826298	6.841297862	9.11652934	7.72911012	7.057243	9.241879274	4.262675743	5.133191591	5.868084067	3.038442237	2.426316586	2.923354223
sub_39	226.0233018	192.5668866	200.5869706	155.5881466	160.509131	161.5143676	41.11994279	74.45311473	98.95946716	62.63062288	51.01959053	99.91457006	96.21844131	116.7914887	117.716425	198.2215346	158.5565471	149.9284544
sub_40	20.92981149	17.46495156	21.37572471	8.639337849	8.991798568	8.164743254	1.046775565	2.849251257	2.756147914	1.961236303	0.716300891	2.142155462	2.564181352	1.360199793	2.533766401	13.18400999	12.95309327	11.14100232
sub_41	10.72331938	10.88293389	8.654487887	8.477620823	7.775146474	9.291911846	8.391262555	9.203637559	12.35127611	15.39833025	11.2176496	16.95381672	13.84634177	17.1071007	15.74501854	13.58041461	11.45303439	17.6737242
sub_42	35.30259877	33.19695287	12.49620471	34.45607183	18.75336224	48.27512126	50.08056455	56.3950104	53.0546285	118.8079732	96.43635506	65.45030261	86.95343748	61.03579411	51.31492504	36.62296281	40.94558624	48.7638076
sub_43	24.1245462	21.51821888	22.96202227	14.89043261	19.08045166	11.93007371	5.093786259	7.386664527	9.004420164	8.94323754	6.706853711	13.02939283	15.36811927	18.24208574	20.96732987	27.02401603	22.72711513	21.36914297
