ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_1_REP_1	TP_2_REP_1	TP_3_REP_1	TP_4_REP_1	TP_5_REP_1	TP_6_REP_1	TP_7_REP_1	TP_8_REP_1	TP_9_REP_1	TP_10_REP_1	TP_11_REP_1	TP_12_REP_1	TP_13_REP_1	TP_14_REP_1	TP_15_REP_1	TP_16_REP_1	TP_17_REP_1	TP_18_REP_1	TP_19_REP_1	TP_20_REP_1	TP_21_REP_1	TP_22_REP_1	TP_23_REP_1	TP_24_REP_1	TP_25_REP_1	TP_26_REP_1	TP_27_REP_1	TP_28_REP_1	TP_29_REP_1	TP_30_REP_1	TP_31_REP_1	TP_32_REP_1	TP_33_REP_1	TP_34_REP_1	TP_35_REP_1	TP_36_REP_1	TP_37_REP_1	TP_38_REP_1	TP_39_REP_1	TP_40_REP_1	TP_41_REP_1	TP_42_REP_1	TP_43_REP_1	TP_44_REP_1	TP_45_REP_1	TP_46_REP_1	TP_47_REP_1
sub_1	0.0	0.0	22.146593	16.918750864965947	1031.0559832802205	6863.665834424374	0.99995995	0.0	6721.16666666667	5572.4	6030.46666666667	6456.13333333333	6574.73333333333	5927.36666666667	5461.1	6604.13333333333	5529.23333333333	6062.36666666667	5541.66666666667	6474.9	7091.2	6992.36666666667	7314.66666666667	8382.66666666667	7247.8	8073.03333333333	7726.63333333333	8701.7	7933.53333333333	7382.2	7737.6	6778.5	6795.1	5567.33333333333	5149.9	5973.86666666667	4909.33333333333	6738.26666666667	6265.03333333333	6593.53333333333	6793.13333333333	6253.66666666667	7760.23333333333	6810.93333333333	6951.46666666667	7230.73333333333	8010.76666666667	7846.83333333333	8649.26666666667	7252.43333333333	6916.5	6591.43333333333	6885.96666666667	7211	6880.5	6324.06666666667
sub_2	0.0	0.0	24.552351	15.630512103387849	132.5059448206332	841.4656393424474	0.99979645	0.0	673.475	820.65	952.025	779.3	915.375	797.05	663.4	625.175	699.575	1009.575	1021.35	944.15	974.45	944.45	978.45	888.1	956.375	1096.1	1282.85	1036.225	872.825	665.55	763.4	746.25	668.725	759.575	731.55	821.275	846.75	731.85	683.8	608.4	652.35	648.675	831.9	839.05	1031.725	826.1	973.525	1121.95	935.5	971.7	1043.95	1100.8	858.475	715.55	824.65	699.125
sub_3	0.0	0.0	22.966612	12.79337431378763	1128.5535374019857	3760.3535413603313	0.9995919	0.0	3420.3	3942.1	3338.3	4250.8	4715.1	3844.4	3329.1	2887.4	3840.8	5075.6	4115.7	4531.3	5628.1	6047.9	5466.4	4899	4756.7	4345.7	4297.2	3872.3	3313.9	2651.6	2678.2	3467.3	2908.5	3305.4	2664.3	3496.3	2801.6	2907.7	2644.8	2798.8	3208.8	3471	4285.8	4957.1	5876.9	4355	4689.7	4810.1	3867.4	4381.4	2822.1	1090.8	1200	1206.4	1398	1337.4
sub_4	0.0	0.0	25.102068	9.987795489138447	33.14926745622731	203.2833601708619	0.9926131	0.0	191.766666666667	192.066666666667	207.333333333333	197.433333333333	202.966666666667	193.733333333333	190.2	195.233333333333	303	332.033333333333	295.2	196.066666666667	275.4	310.533333333333	243.433333333333	187.133333333333	201.2	204.833333333333	191.533333333333	192.366666666667	186	137.4	192.766666666667	179.666666666667	195.666666666667	189.033333333333	224.5	170.733333333333	177.2	199.866666666667	146.633333333333	195.666666666667	198.3	204.9	233.733333333333	305.933333333333	231.966666666667	237	195.666666666667	223.266666666667	196.066666666667	236.633333333333	198.466666666667	190.066666666667	89.2666666666667	107.633333333333	152.633333333333	139.633333333333
sub_5	0.038509162951956416	0.04189583834990515	23.912128	20.931533933337132	2.0555176017369865	85.91612251902563	0.39543644	0.0	80.45	83.4	84.5	83.7	78.9	84.95	83.2	87.65	81.7	76.95	82.8	85.45	86.25	79.5	83.65	85	85.95	84.75	85.4	85.35	85.75	86.25	86.75	88.4	86.4	87.65	88.3	84.8	88.2	89.85	83.1	90.75	83.85	86.95	85.7	84.75	81.05	86.35	85.7	87.7	86.7	87.1	88.6	95.9	109.7	89.1	91.45	94.7
sub_6	0.0006191183754333828	0.0008095597759526776	23.153677	21.74163064479424	682.5716676872801	4145.793797956266	0.96119595	0.0	4891.5	4747.4	4717.7	4441.3	4187.7	3859.2	3666.7	4102.6	2935.6	3383.2	4755.3	3957.5	3904.4	3337.1	3412.2	3231.6	4689.8	4852.9	4114.7	4630.9	4530.9	4928	4458.9	4359.9	4705.8	4177.4	5207.7	4073	5814.4	3044.3	4207.3	3289.5	2984.7	4708.1	3771.8	4437.9	3818	3774.8	3845.3	4033.4	4304.6	3466.1	5018.6	6506.3	6345.8	5337.9	5730.6	4210.8
sub_7	0.0	0.0	23.24106	22.193577735548775	1723.6305297260665	8503.465412238054	0.99787915	0.0	9011.7	9607.4	9606.1	9165.3	7753.8	6955.4	8634.3	8070.8	6308.8	6331.1	8188.9	8035.2	8429.9	5429	6794.7	7442.2	7982.3	8609.8	9558.5	9555	10206.3	10761.5	10282.6	9083.6	9863.2	9102.7	10109.8	8428.2	8989.9	8025.6	8239.5	6252.9	8030.2	8623.8	7802.4	6215.8	7312.9	7950.5	7789.9	7338.9	8529.8	7514.1	10162.2	14091.2	13639.4	12529.8	12816.5	11289.7
sub_8	0.0	0.0	26.141472	8.737143379988517	49.677147988594776	199.76602886093434	0.99086785	0.0	212.78	183.08	160.22	238.02	213.18	213.32	267.94	168.68	330.72	421.66	353.04	223.18	199.14	284.76	200.4	202.94	174.86	138.72	205.36	182.14	165.84	164.66	166.3	184.82	144.9	186.34	208.26	179.48	177.28	167.4	218.5	218.06	234.26	221.82	265.9	256.08	301.9	306.4	208.16	157.08	240.8	284.88	197.18	116.32	159.92	147.88	155.52	177.32
sub_9	0.0011497912686619968	0.0014575937671811841	26.312336	14.238310334255875	1009.8873894053659	13197.77646136261	0.94282436	0.0	13275.7333333333	13430.3	13057.8	12567.9333333333	13527	13372.1666666667	12524.0333333333	11764.2	15272.1	12849.1	15139.9666666667	12020.4	13778.2	15086.5333333333	15684.7333333333	14666.4333333333	14243.7333333333	14454.2	13305.0666666667	13473.6	13032.9333333333	12631.9666666667	11905.8666666667	12173.1	11275.9	11592.4333333333	12580.5	12022.6333333333	13578.2666666667	11823.8333333333	12224.0333333333	12506.9333333333	13117.5	12564.7	13112.1	14200.0666666667	11705.6333333333	13898.6	14695.1	14066.3666666667	14097.7666666667	14302.9666666667	14467.5	14734.7	13083.4333333333	13899.5333333333	13020.8666666667	14429.9666666667
sub_10	0.0	0.0	26.448	6.734927884174262	1035.1130111321586	5987.653369100499	0.995802	0.0	6241.525	6918.225	7039.675	7059.9	6095.125	7106.55	6749.4	6249.2	7227.65	7270.45	6541.975	6553.7	7193.075	7102.95	7441.1	5967.175	5867.55	5077.725	5584.05	5673.675	4501.725	5063.7	4936.425	4812.75	5984.2	5723.55	5698.2	6175.775	5748.925	5400.075	5673.05	6388.425	6250.025	6120.55	7528.65	6972.675	7229.675	6609.075	6277.65	6198.45	5532.875	6310.35	4577.225	3081.4	3649.975	3745.075	3412.875	4165.9
