ID	ZT0_REP1	ZT1_REP1	ZT4_REP1	ZT7_REP1	ZT10_REP1	ZT13_REP1	ZT16_REP1	ZT19_REP1	ZT22_REP1
sub_1	11.42738484	11.40043537	11.34734627	11.54597559	11.75554013	11.89321161	11.9215899	11.91534717	11.83718341
sub_2	11.241442585	11.219491315	11.219605945	11.37362436	11.467299075	11.55934967	11.592488085	11.49915975	11.47190462
sub_3	7.396945367	7.211065759	7.158120508	7.102441236	7.275118851	7.570002085	7.802918982	7.872567732	7.883773181
sub_4	8.943540434	8.871100839	8.823428676	8.773019617	8.838342661	8.954855366	9.015515003	9.092220837	9.006435391
sub_5	9.796704279	9.728265855	9.684285331	9.887839555	10.04777753	10.1746724	10.38659822	10.35300177	10.24970984
sub_6	8.3124920805	8.085888621	8.18176447133333	7.99966303016667	8.05001844883333	7.96382752983333	7.9952460555	7.94170454066667	7.931120505
sub_7	14.19246424	14.37623589	14.29356384	14.24703473	14.28770809	14.24599971	14.2370784	14.22143708	14.21027476
sub_8	12.94987968	12.71749983	12.93271711	12.88387828	12.94366991	12.94639249	12.96014624	12.96383437	12.96952102
sub_9	8.909520731	9.586117056	9.493813108	9.209917901	9.055778719	8.749778124	8.779086492	8.642319289	8.622482169
sub_10	5.718567744	5.778089416	5.91206202	5.619268518	5.95593188	6.271367139	6.137544947	6.45849868	6.487286339
sub_11	12.80195679	12.3267058	11.03672184	11.00190088	10.86742188	10.72897422	10.7377331	10.61029086	10.72388604
sub_12	10.49439564	10.55063165	10.74946855	10.78601305	10.75712686	10.88397708	10.80512395	10.88567765	10.81604319
sub_13	12.37641638	12.51404543	12.598847685	12.427476355	12.34033338	12.31047147	12.284757265	12.22806266	12.23523153
sub_14	11.70182576	11.77788123	11.76386585	11.67083061	11.65291063	11.66008741	11.57336559	11.63533943	11.56303735
sub_15	11.32473937	11.48971378	11.4474666	11.12065873	11.08109042	11.0265108	10.95514935	10.9820711	10.93501552
sub_16	6.47826613	6.272425416	6.16815487	6.005650749	5.968096869	5.779022004	5.914804499	5.914804499	5.840765028
sub_17	12.30033659	12.17236832	12.51033565	12.60682574	12.60682574	12.65197784	12.6991408	12.74609328	12.68572639
sub_18	11.78687945	11.58820313	11.64519477	11.64963909	11.60343149	11.55928008	11.52831448	11.44606097	11.41749598
sub_19	12.21419004	11.82348996	11.95733278	11.97439323	12.10592242	12.1774807	12.23484287	12.27389514	12.23962201
sub_20	9.767108465	9.566619336	9.459562448	9.338227063	9.417005026	9.376986356	9.227596806	9.322301234	9.231267488
sub_21	10.58459536	10.84154756	10.84650669	10.94102806	10.95765004	10.89032084	10.8719162	10.83092656	10.79773493
sub_22	8.863325871	9.167035148	9.059396627	9.354169443	9.685366628	9.427958716	9.961351173	9.691814939	9.891924588
sub_23	11.7610513	10.6166375	10.5623241	10.41255531	10.46042667	10.47892676	10.6166375	10.70587693	10.7125522
sub_24	8.2895738565	8.285239177	8.342355987	8.3214974905	8.3294058255	8.41416233	8.48614875	8.456334348	8.534469151
sub_25	9.69093413666667	9.66264819433333	9.46216061433333	9.411916918	9.30154201366667	9.22518986933333	9.19383617133333	9.21127474233333	9.22756376766667
sub_26	10.8323146525	10.916726492	11.0966011735	11.2264464855	11.2809547515	11.3264104605	11.3947681605	11.319372573	11.3180636835
sub_27	9.7178225865	9.299107033	9.222655908	9.2506528895	8.99238121	8.855009057	8.8431441965	8.816432854	8.8640556665
sub_28	8.793440867	8.58177730066667	8.71290547333333	8.74382571366667	8.77215006166667	8.796474194	8.81055426766667	8.828723687	8.86306685766667
sub_29	9.990362313	9.85245079	10.10033844	10.06327127	10.1370565	10.18795522	10.18376527	10.29543429	10.267175
sub_30	10.35855031	10.18066515	10.17039066	9.882069988	9.854327308	9.83186967	9.835556052	9.887818434	9.91058933
sub_31	5.044821356	5.046915763	5.168527883	5.207346965	5.301241695	5.387426982	5.444356727	5.202508893	5.488812555
sub_32	8.635402877	8.486779887	8.423780595	8.06210342	8.115334177	8.101550207	8.062242693	7.755801058	7.873158919
sub_33	8.837863938	8.611442425	8.700073737	8.853897399	8.907989928	9.020962027	9.074902155	9.060729745	9.07578155
sub_34	9.434147938	9.088823831	9.550356376	9.550967768	9.752445188	9.925606955	10.04765317	9.901839937	9.927843139
sub_35	10.0206095	10.10629737	10.06661488	10.08924458	10.22552212	10.27589398	10.29731499	10.27969546	10.37765347
sub_36	11.32240284	11.14582477	11.24404206	11.38219606	11.0849688	11.06513538	10.99762564	10.9317096	10.86126711
sub_37	10.52936821	10.28471124	10.06339834	9.819352304	9.987390022	10.07490111	10.07862134	10.16892263	10.22850294
sub_38	11.28938965	11.45909823	11.3829112	11.17467337	11.17053977	11.10074801	11.13619955	11.11080728	11.05585314
sub_39	10.94979513	10.99350967	10.83226307	10.68121434	10.63031515	10.51663482	10.57377063	10.44307259	10.42865848
sub_40	9.903390056	9.785562446	9.771619416	9.651154497	9.522728337	9.637305875	9.653398057	9.674058675	9.706394465
sub_41	9.735725291	9.654158347	9.7377494	9.623554806	9.575081205	9.495227374	9.500210591	9.4368996	9.48323749
sub_42	10.7323586	10.75137388	10.81446441	10.92387606	10.95424075	11.05841763	11.06692489	11.06899635	10.9499988
sub_43	10.246491324	10.256220029	10.325194479	10.3839436515	10.473972246	10.517179821	10.4906203815	10.454321554	10.425218785
sub_44	11.70036546	11.07679829	11.03694964	11.04519118	10.98934779	10.9763403	10.85773687	10.8917356	10.95936872
sub_45	8.266286731	7.585682315	7.532145903	7.409554741	7.363472051	7.203351153	7.331298222	7.336059221	7.325073059
sub_46	9.496226274	9.485380355	9.617306268	9.619715765	9.602179421	9.651684301	9.67442252	9.671002867	9.711200316
sub_47	9.932929395	9.77261759266667	9.79066769666667	9.77191250933333	9.73308383266667	9.76026600566667	9.75806702433333	9.73145809066667	9.70344497933333
sub_48	10.62957657	10.16257578	10.16463681	10.25104999	10.32411667	10.37216054	10.50229851	10.50951932	10.53131122
sub_49	9.808280215	10.02998142	9.938581798	9.867643079	9.920078826	9.851244182	9.816406976	9.754252237	9.746818721
sub_50	10.8387283	10.87593523	10.86458801	10.98526272	11.00454156	11.01431721	10.99815838	11.09875814	11.05309538
sub_51	5.240195078	4.9777347435	4.9507368385	4.942666521	4.952850132	4.8645850575	4.8979280645	4.836651594	4.743157927
sub_52	12.47211748	12.37985273	12.21351184	12.23959841	12.21730464	12.07554838	11.95596416	11.84389425	11.86256266
sub_53	10.08184856	10.03881419	9.828459347	9.729653524	9.673542734	9.719263997	9.700280145	9.646206206	9.622804019
sub_54	10.1821295595	10.23623717	10.45076624	10.56860936	10.48393678	10.48080483	10.433056325	10.41559915	10.29853721
sub_55	12.8558888	13.04919473	13.19870091	13.29502341	13.30575099	13.29315341	13.25260316	13.23862329	13.19135341
sub_56	11.43959848	11.40122329	11.49986473	11.71060226	11.7150045	11.78845895	11.87846818	11.86496738	11.98941841
sub_57	13.82049798	13.78465175	13.76395204	13.76950699	13.75791152	13.7148532	13.67385198	13.64618981	13.58189211
sub_58	11.7771719	12.11058609	12.24261751	12.28865757	12.13961881	12.09855018	12.03508539	11.92862957	11.87984449
sub_59	10.16667332	10.32946739	10.40145008	10.61022242	10.65797729	10.66545705	10.73613633	10.79701802	10.71654935
sub_60	11.540065576	11.4259011695	11.4361031775	11.345343805	11.358427235	11.312128232	11.2828070255	11.2772130545	11.2658997355
sub_61	9.063191092	9.27035353	9.400209063	9.402272202	9.536247374	9.386195584	9.385651696	9.35318938	9.343845426
sub_62	8.309367555	9.0490846785	9.2055438715	9.2982508715	9.387757355	9.277904309	9.2292623335	9.207158391	9.109925823
sub_63	10.7634279146667	10.6583840696667	10.6773512896667	10.515914098	10.4976038546667	10.5349682143333	10.4753358376667	10.4172650293333	10.377770053
sub_64	8.055550992	7.900338589	7.674846596	7.459113783	7.289767589	6.992567137	6.938954164	6.701548362	6.497424161
sub_65	9.864710772	9.595425283	10.10082058	10.10520628	10.20249357	10.24787832	10.35330497	10.39999722	10.3069418
sub_66	8.212064325	8.508267935	8.722304206	8.677425068	8.827315751	8.995600824	9.041592295	9.047416578	9.176473941
sub_67	8.34449915	7.472861509	8.419817763	9.073895675	9.592241174	9.736437848	9.778291385	9.787571336	9.612421022
sub_68	12.20147604	10.30251746	10.48891949	11.05225116	11.2930872	11.41458507	11.45637795	11.47185359	11.47143989
sub_69	7.863727275	7.037339338	6.919208592	6.524172665	6.456540003	6.478179791	6.535209078	6.56899467	6.656495473
sub_70	11.86150657	11.5993706	11.41724474	11.33058539	11.28132949	11.26229398	11.13164139	11.27838629	11.17086214
sub_71	13.7494189	13.80196847	13.39496969	13.49753578	13.35705607	13.27020699	13.20779685	13.1627105	13.11002675
sub_72	10.85315129	10.61114508	10.49537662	10.30482688	10.35700741	10.48512715	10.48865035	10.50142611	10.51347105
sub_73	10.63628394	10.13894152	10.25570708	10.0601215	10.00185151	9.901754796	9.91361445	9.849021359	9.879804027
sub_74	11.56030799	11.38379464	11.38818177	11.4111877	11.28380692	11.25210824	11.24501241	11.21099894	11.06949295
sub_75	7.514863066	8.862619285	9.337640574	9.452256838	9.612061323	9.8006824205	9.857083979	9.728629631	9.767395153
sub_76	4.224911798	4.284570845	4.293029371	4.32337836	4.380421027	4.386117842	4.424215241	4.380421027	4.472519789
sub_77	10.94342434	10.61431861	10.56511186	10.47086368	10.4931125	10.41638588	10.3668836	10.32563415	10.32273016
sub_78	10.20761215	10.33566001	10.34537315	10.27870054	10.47257807	10.5083204	10.56437961	10.51248936	10.55077396
sub_79	5.76874196	5.59987620066667	5.56706740366667	5.47399446733333	5.40787157866667	5.25537955233333	5.40949678433333	5.33162486366667	5.24399588333333
sub_80	10.3396190745	10.27075483	10.33358103	10.4535657725	10.638701315	10.75039458	10.79747608	10.688763033	10.79913789
sub_81	11.13344326	10.84550014	11.18743274	11.15110043	11.42111463	11.48365666	11.63146375	11.59459535	11.68953323
sub_82	10.52922097	10.41423581	10.39363259	10.42106933	10.29253143	10.28010903	10.18723304	10.25989671	10.15153141
sub_83	12.51749091	12.8436583	12.68077886	12.76494356	12.6437687	12.63552097	12.54310665	12.53211707	12.47221535
sub_84	10.506182184	10.4032154883333	10.3916403463333	10.3840669281667	10.3693145248333	10.3463979415	10.3387649175	10.3445976655	10.2844332591667
sub_85	11.04546924	11.34038631	11.37923106	11.09346282	10.83492516	10.64016193	10.51992751	10.48858362	10.42698378
sub_86	10.76008911	10.78930051	10.66081339	10.71149238	10.71055759	10.6606074	10.60684917	10.6195163	10.57772212
sub_87	10.547285843	10.3267363676667	10.3906204433333	10.4085052033333	10.4406858333333	10.5017674933333	10.5082318256667	10.5265878266667	10.5454877633333
sub_88	10.27104595	10.55795672	10.70208991	11.04015373	11.21742989	11.29591443	11.24416233	11.23179942	11.21808249
sub_89	7.059240156	7.189742327	7.416875514	7.578506973	7.800806949	7.969737376	7.995418313	7.786044097	7.696883937
sub_90	11.96227629	11.86178017	12.00802435	12.063272	12.07799353	12.14369594	12.20415515	12.19856214	12.13482465
sub_91	10.0898438	10.25485363	10.53712184	10.83614939	10.93874164	10.90121218	10.89953365	10.88460937	10.80484701
sub_92	11.83181917	11.51505546	12.48027608	12.60296573	12.63826428	12.67131859	12.73774891	12.72485106	12.7532481
sub_93	9.144032388	10.57375514	10.57487454	11.24160253	11.45259601	11.38197615	11.63869807	11.49652378	11.48525242
sub_94	9.444402391	9.6742669905	9.7838450515	9.478492184	9.151046595	8.959477653	8.879926765	8.698297617	8.7260292995
sub_95	8.642859527	10.0463475	10.03623596	9.926861989	9.796070915	9.868251591	9.787368025	9.705587173	9.570302286
sub_96	10.01690299	10.08489418	10.82073865	11.0263095	11.22314186	11.34896272	11.39421839	11.24272463	11.2537045
sub_97	8.334685885	8.38258727	7.993418203	8.111496168	8.060478142	7.857269682	7.851869518	7.653848955	7.75841841
sub_98	10.35788399	11.1262619	10.74372866	10.7248536	10.57299578	10.4734043	10.44474912	10.42936733	10.4117915
sub_99	6.757290412	6.313535226	6.229522826	6.119573311	5.853716586	5.491361701	5.847236773	5.477122621	5.536131547
sub_100	11.35726481	11.21783478	11.42845213	11.51687302	11.58483804	11.61270935	11.61806994	11.70231735	11.51917665
sub_101	11.92492564	12.39487635	12.09969724	12.08875105	12.04851258	11.94589862	11.98892356	11.8063568	11.75504946
sub_102	12.41036304	12.96896547	12.60414806	12.62147127	12.58655265	12.47981556	12.37063977	12.36470776	12.26790188
sub_103	10.35365954	10.08844037	10.1711871	10.12306858	10.09337644	10.05571754	10.05410285	9.980961886	9.920574892
sub_104	11.96999176	10.42198606	10.37616225	10.22032099	10.16572959	10.08617628	10.06177224	10.24583969	10.26951361
sub_105	12.00368084	11.53812425	11.54644232	11.52266913	11.43531692	11.35902073	11.25369201	11.15292331	11.14075514
sub_106	10.75777646	10.64223241	10.48163392	10.33812073	10.32138618	10.19587109	10.28927921	10.29923011	10.27762077
sub_107	9.503478788	9.658157141	9.424906608	9.076172282	8.732853265	8.744705549	8.662976642	8.693141759	8.686295147
sub_108	11.65841648	11.96676321	11.9431934	11.96261307	11.91263977	11.88364364	11.84239385	11.7551218	11.63711518
sub_109	9.745366796	9.54073537	9.4869978695	9.363197743	9.525922331	9.6395148135	9.669195375	9.713259672	9.7274061045
sub_110	10.8004008	10.72884872	10.93523427	11.1626331	11.2798152	11.33704027	11.45863925	11.48252832	11.37818487
sub_111	11.14516598	11.00003322	11.21737688	10.9171964	10.91349488	10.81972567	10.58888883	10.59866587	10.48942821
sub_112	12.950693515	12.84087252	12.80841744	12.799853035	12.797718975	12.73767224	12.75443024	12.705130925	12.70684038
