ID	ZT0_REP1	ZT4_REP1	ZT8_REP1	ZT12_REP1	ZT16_REP1	ZT20_REP1	ZT24_REP1	ZT28_REP1	ZT32_REP1	ZT36_REP1	ZT40_REP1	ZT44_REP1	ZT48_REP1
sub_1	1619.02	2012	1970.9	2050.93	1955.61	1821.28	2022.99	1939.51	2060.94	2025.99	1919.64	1958.81	2022.14
sub_2	3266.46	3789.78	3994.65	4388.29	3950.49	3899.35	4309.46	3813.06	4503.06	4294.93	4475.54	4077.85	4027.85
sub_3	2488.54	2718.62	3141.68	2777.66	2561.55	2463.05	2786.23	2857.91	3235.31	3014.18	2724.26	2624.23	2589.27
sub_4	264.157	267.841	259.234	232.815	251.603	280.603	269.838	261.653	279.252	247.532	268.852	257.272	271.544
sub_5	672.279	763.533	949.047	1157.34	783.503	678.021	836.581	810.183	943.397	1119.7	818.305	855.875	735.925
sub_6	421.301	501.156	555.751	612.929	523.604	445.495	512.714	556.064	601.126	603.668	589.275	530.631	450.682
sub_7	442.611	513.557	575.58	575.011	568.122	475.08	508.706	545.724	596.787	615.805	573.991	595.124	499.699
sub_8	1107.43	1201.06	1208.86	1275.61	1147.24	1052.89	1155.37	1168.67	1236.76	1319.87	1197.58	1173.74	1078.28
sub_9	5622.13	5212.96	4864.9	4586.75	5430.74	5384.69	5326.52	4777.15	4706.1	4358.5	4795.71	5312.05	5212.49
sub_10	1209.45	1240.08	1019.52	960.433	1219.28	1275.15	1365.56	1161.08	1054.52	1029.98	1199.29	1160.33	1196.3
sub_11	1044.18	1431.94	1435.76	1272.2	1213.43	1022.82	1456.24	1507.08	1480.69	1306.98	1176.41	1072.89	1256.49
sub_12	1649.03	1696.97	2249.79	2421.11	1946.65	2177.77	1837.41	1919.54	2180.49	2328.97	2604.29	2223.14	1921.59
sub_13	299.392	402.803	393.847	444.105	406.648	336.794	352.889	336.888	436.622	435.224	426.069	389.9	348.004
sub_14	532.324	494.494	450.053	380.932	464.562	467.81	527.125	460.813	473.778	422.462	436.454	444.166	543.775
sub_15	315.835	273.303	198.154	212.971	329.323	399.317	303.227	303.22	236.524	192.153	243.152	302.989	304.862
sub_16	678.842	771.249	729.601	795.449	669.584	667.447	710.653	731.594	747.902	792.583	663.403	717.849	710.251
sub_17	2262.93	2449.49	2710.64	2935.1	2248.73	2051.16	2299.49	2475.04	2593.59	2834.24	2572.73	2410.29	2177.63
sub_18	535.774	584.698	625.788	556.401	546.791	484.022	563.612	625.821	628.686	581.2	559.165	536.989	532.888
sub_19	1002.41	971.925	1311.54	1030.86	829.947	845.614	969.287	1033.82	1076.71	973.999	916.709	836.689	864.368
