ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_0_REP_1	TP_4_REP_1	TP_8_REP_1	TP_12_REP_1	TP_16_REP_1	TP_20_REP_1	TP_24_REP_1	TP_28_REP_1	TP_32_REP_1	TP_36_REP_1	TP_40_REP_1	TP_44_REP_1	TP_48_REP_1
sub_1	0.10052713507394043	0.1635695757135302	21.803196	9.716241951303745	73.10955388094185	1988.5303983045487	0.31523517	0.0	1619.02	2012	1970.9	2050.93	1955.61	1821.28	2022.99	1939.51	2060.94	2025.99	1919.64	1958.81	2022.14
sub_2	0.12214321092478596	0.19454484273993058	24.352404	12.402577329900689	281.780196858186	4018.4789153343286	0.24472359	0.0	3266.46	3789.78	3994.65	4388.29	3950.49	3899.35	4309.46	3813.06	4503.06	4294.93	4475.54	4077.85	4027.85
sub_3	0.0015920186796858416	0.007438812945788712	24.705893	8.257336342242649	295.220498555713	2788.33731176325	0.9924777	0.0	2488.54	2718.62	3141.68	2777.66	2561.55	2463.05	2786.23	2857.91	3235.31	3014.18	2724.26	2624.23	2589.27
sub_4	0.3484221325974669	0.4743099611131657	24.100504	0.3835714330113732	9.041632275281344	260.86827515778594	0.026478935	0.0	264.157	267.841	259.234	232.815	251.603	280.603	269.838	261.653	279.252	247.532	268.852	257.272	271.544
sub_5	0.002847944526993561	0.010160234528733787	23.768091	10.970146687605626	156.0983285058621	838.643584908348	0.9861168	0.0	672.279	763.533	949.047	1157.34	783.503	678.021	836.581	810.183	943.397	1119.7	818.305	855.875	735.925
sub_6	0.011480223590179015	0.02536216759671347	24.091026	11.11919717026499	68.00869187815964	537.0969672206116	0.9344631	0.0	421.301	501.156	555.751	612.929	523.604	445.495	512.714	556.064	601.126	603.668	589.275	530.631	450.682
sub_7	0.014222033538526852	0.02997698087162546	24.525259	11.709948609944771	55.97084479412368	543.0436836000838	0.9112508	0.0	442.611	513.557	575.58	575.011	568.122	475.08	508.706	545.724	596.787	615.805	573.991	595.124	499.699
sub_8	0.0069518149012948414	0.017313954093790926	25.518866	9.747488640005926	92.012868362935	1175.2797108797522	0.9626575	0.0	1107.43	1201.06	1208.86	1275.61	1147.24	1052.89	1155.37	1168.67	1236.76	1319.87	1197.58	1173.74	1078.28
sub_9	0.0038739121205688815	0.011996631083052019	23.471983	22.41409266963236	470.2017917472547	5009.298541716302	0.9800571	0.0	5622.13	5212.96	4864.9	4586.75	5430.74	5384.69	5326.52	4777.15	4706.1	4358.5	4795.71	5312.05	5212.49
sub_10	0.012187787447817166	0.026373572837899442	22.970888	22.301175405502182	129.6946917831757	1159.5227689999383	0.930095	0.0	1209.45	1240.08	1019.52	960.433	1219.28	1275.15	1365.56	1161.08	1054.52	1029.98	1199.29	1160.33	1196.3
sub_11	0.005819712729073799	0.015519233944196797	24.060251	6.892754249225201	198.31317708766682	1287.5719035195289	0.9687319	0.0	1044.18	1431.94	1435.76	1272.2	1213.43	1022.82	1456.24	1507.08	1480.69	1306.98	1176.41	1072.89	1256.49
sub_12	0.003732399349041251	0.011856567061165295	25.73011	13.104237502748726	330.21742667646095	2125.9813163269596	0.98163134	0.0	1649.03	1696.97	2249.79	2421.11	1946.65	2177.77	1837.41	1919.54	2180.49	2328.97	2604.29	2223.14	1921.59
sub_13	0.002087313380032548	0.008380999731233348	25.799154	11.086369915076073	49.43186271784268	390.1881883026318	0.98916036	0.0	299.392	402.803	393.847	444.105	406.648	336.794	352.889	336.888	436.622	435.224	426.069	389.9	348.004
sub_14	0.005324418028727093	0.014729151760254458	24.712095	0.0	54.57024815205618	474.4380213132438	0.9727907	0.0	532.324	494.494	450.053	380.932	464.562	467.81	527.125	460.813	473.778	422.462	436.454	444.166	543.775
sub_15	0.005784334536191892	0.015463942456249716	25.474161	21.893428806309313	64.65731476151504	262.3659104451976	0.9688543	0.0	315.835	273.303	198.154	212.971	329.323	399.317	303.227	303.22	236.524	192.153	243.152	302.989	304.862
sub_16	0.0563928394537607	0.09714655540484715	22.958752	9.13499704211835	43.23721563816424	713.4812192625413	0.5532522	0.0	678.842	771.249	729.601	795.449	669.584	667.447	710.653	731.594	747.902	792.583	663.403	717.849	710.251
sub_17	0.0010613457864572277	0.006226561947215737	25.822523	9.452499053527111	295.963746641036	2460.1235475550593	0.9950858	0.0	2262.93	2449.49	2710.64	2935.1	2248.73	2051.16	2299.49	2475.04	2593.59	2834.24	2572.73	2410.29	2177.63
sub_18	0.0037854666383641124	0.011897180863430067	24.63882	7.058502176606335	49.41413901415372	577.7912613878968	0.98057234	0.0	535.774	584.698	625.788	556.401	546.791	484.022	563.612	625.821	628.686	581.2	559.165	536.989	532.888
sub_19	0.0003714710252600297	0.005300991928035018	25.29653	6.844315185115795	117.29850622054477	960.355825590275	0.99813014	0.0	1002.41	971.925	1311.54	1030.86	829.947	845.614	969.287	1033.82	1076.71	973.999	916.709	836.689	864.368
sub_20	0.00031840373593716834	0.004944622722788968	22.833963	20.351173609540247	19.41646591976719	146.401694022183	0.9982015	0.0	155.299	142.296	130.221	127.569	160.572	161.321	155.88	138.274	129.829	130.596	168.344	172.518	144.387
sub_21	0.017494516380103305	0.0355273255719021	24.948347	10.323697180192125	233.65606348292994	1473.1062507439754	0.8868545	0.0	1248.06	1468.01	1690.33	1815.8	1461.31	1026.96	1401.87	1458.64	1273.3	1851.01	1537.26	1211.6	1449.87
sub_22	0.263408335102243	0.3774208980569452	20.867414	12.620378220015677	11.293540325729294	128.327564248388	0.05723618	0.0	110.944	102.182	105.043	136.984	136.598	130.122	117.489	118.839	156.934	128.342	133.627	127.435	167.273
sub_23	0.0014858841010401188	0.007184494554479696	24.969257	6.35836917334392	212.07900614872796	2429.7524554097145	0.9927891	0.0	2309.22	2595.25	2435.06	2516.08	2189.29	2091.53	2454.72	2642.73	2602.45	2527.44	2308	2223.8	2354.09
