ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3
sub_1	344.237	298.949	302.333	418.218	245.189	389.634	515.777	526.132	475.313	452.989	481.062	480.151	444.834	414.073	334.065	380.261	428.935	425.812
sub_2	1142.06	1042.59	1092.58	1127.48	839.286	1063.37	1342.89	1043.87	1034.95	1396.26	1494.24	1511.03	1287.37	1667.67	1346.38	1520.07	1891.37	1545.03
sub_3	33.7117	27.1234	20.1684	35.4141	36.6482	35.7269	38.327	31.4818	31.5055	26.5962	24.8634	31.103	22.1849	30.9278	18.4682	30.1954	34.9874	23.7954
sub_4	416.676	415.086	415.281	454.788	305.799	454.303	470.399	503.324	475.428	527.753	496.447	550.965	504.752	464.183	447.035	455.005	465.779	391.148
sub_5	583.614	522.852	470.389	512.566	547.164	526.341	628.576	697.602	742.275	689.516	634.211	591.153	602.988	557.722	553.789	471.826	580.553	504.434
sub_6	192.753	214.009	198.798	184.438	200.469	192.563	178.267	173.745	193.974	143.415	165.717	165.735	175.669	165.987	138.053	166.192	194.913	167.929
sub_7	1534.54	1412.47	1424.52	1340.77	1258.92	1354.75	1170.66	1188.77	1165.82	1225.46	1154.22	1244.11	1006.81	1119.19	1314.36	1216.01	1331.25	1178.78
sub_8	659.7	714.027	795.222	703.001	745.441	748.04	763.52	820.02	800.905	820.391	707.475	625.895	669.709	618.573	710.301	593.716	591.459	552.99
sub_9	284.208	298.972	276.039	246.581	208.34	254.919	213.012	206	238.086	219.69	236.623	223.464	237.691	235.704	268.905	241.589	250.796	249.178
sub_10	310.436	412.246	410.458	354.395	399.738	385.502	442.02	505.132	450.083	524.946	546.531	497.554	541.268	436.271	480.737	450.459	396.201	353.756
sub_11	427.22	520.356	480.395	497.428	507.945	510.854	495.681	547.698	561.194	429.134	483.234	407.448	443.944	401.397	412.628	435.016	419.576	360.164
sub_12	40.8099	44.2106	36.6466	34.4988	41.133	40.217	37.231	44.0422	51.6731	64.1102	52.0631	53.1487	58.8231	61.1628	48.0067	54.1801	56.9188	60.3522
sub_13	2060.1	2172.21	1774.44	1759.57	2422.65	1806.74	1720.84	1658.56	1769.37	1569.33	1742.37	1798.58	1729.19	1830.43	1874.81	2147.46	2698.3	2605.44
sub_14	115.079	116.73	110.043	96.291	89.8891	99.5589	126.408	117.828	125.563	141.557	155.828	141.433	126.812	112.096	129.436	141.174	114.074	126.436
