Symbol,preds,p
gene1,1,0.0
gene100,1,0.0
gene101,1,0.0
gene104,1,0.0
gene105,1,0.00390625
gene106,1,0.0
gene107,1,0.0
gene109,1,0.0
gene11,1,0.0
gene110,1,0.0
gene114,1,0.0
gene118,1,0.0
gene119,1,0.0
gene12,1,0.00390625
gene122,1,0.0
gene126,1,0.02734375
gene13,1,0.0
gene132,1,0.0
gene133,1,0.00390625
gene134,1,0.0
gene135,1,0.0
gene138,1,0.0
gene14,1,0.0
gene142,1,0.0
gene143,1,0.015625
gene151,1,0.0
gene157,1,0.0
gene158,1,0.0
gene159,1,0.0
gene16,1,0.0
gene161,1,0.00390625
gene163,1,0.0
gene165,1,0.0
gene166,1,0.0
gene167,1,0.00390625
gene169,1,0.015625
gene172,1,0.0
gene174,1,0.0
gene175,1,0.00390625
gene177,1,0.0
gene18,1,0.0
gene183,1,0.00390625
gene184,1,0.01171875
gene19,1,0.0
gene192,1,0.02734375
gene197,1,0.0
gene200,1,0.0
gene201,1,0.0
gene202,1,0.0
gene206,1,0.03125
gene207,1,0.0
gene214,1,0.0
gene218,1,0.0078125
gene219,1,0.0
gene220,1,0.0
gene224,1,0.0
gene225,1,0.0078125
gene226,1,0.0
gene229,1,0.0
gene23,1,0.00390625
gene236,1,0.0078125
gene238,1,0.0
gene24,1,0.00390625
gene240,1,0.0
gene241,1,0.00390625
gene244,1,0.0
gene247,1,0.0
gene249,1,0.00390625
gene251,1,0.0
gene253,1,0.0
gene254,1,0.0
gene256,1,0.0
gene257,1,0.0
gene259,1,0.0
gene26,1,0.0
gene262,1,0.0
gene263,1,0.0
gene264,1,0.0
gene266,1,0.00390625
gene267,1,0.0
gene268,1,0.0
gene269,1,0.0
gene270,1,0.0
gene272,1,0.0
gene275,1,0.0
gene276,1,0.0
gene279,1,0.03125
gene280,1,0.0
gene282,1,0.0
gene283,1,0.01171875
gene284,1,0.0
gene286,1,0.0
gene287,1,0.00390625
gene291,1,0.0
gene292,1,0.0
gene294,1,0.0
gene296,1,0.0
gene297,1,0.0
gene299,1,0.0
gene30,1,0.03125
gene301,1,0.0
gene302,1,0.0
gene303,1,0.0
gene304,1,0.0
gene310,1,0.0
gene311,1,0.0
gene313,1,0.00390625
gene314,1,0.0
gene315,1,0.0
gene317,1,0.0
gene319,1,0.00390625
gene32,1,0.0
gene322,1,0.0
gene323,1,0.0
gene325,1,0.0
gene329,1,0.0
gene33,1,0.0
gene338,1,0.0
gene34,1,0.0
gene340,1,0.0
gene344,1,0.0
gene347,1,0.02734375
gene349,1,0.0
gene35,1,0.0
gene353,1,0.00390625
gene355,1,0.02734375
gene357,1,0.0
gene36,1,0.0
gene361,1,0.0078125
gene363,1,0.0
gene364,1,0.03125
gene367,1,0.0
gene370,1,0.0
gene371,1,0.0
gene372,1,0.0
gene377,1,0.0
gene379,1,0.0
gene384,1,0.0
gene389,1,0.00390625
gene39,1,0.0
gene390,1,0.01953125
gene392,1,0.0
gene393,1,0.0
gene394,1,0.0078125
gene395,1,0.00390625
gene397,1,0.0
gene399,1,0.0
gene4,1,0.00390625
gene40,1,0.0
gene401,1,0.0
gene402,1,0.0
gene404,1,0.0
gene405,1,0.0
gene407,1,0.0
gene408,1,0.0
gene41,1,0.00390625
gene410,1,0.0
gene415,1,0.0
gene417,1,0.0
gene418,1,0.0078125
gene419,1,0.0
gene421,1,0.0
gene425,1,0.00390625
gene427,1,0.0
gene428,1,0.0
gene430,1,0.0
gene432,1,0.0
gene433,1,0.0078125
gene434,1,0.0
gene436,1,0.0
gene437,1,0.04296875
gene439,1,0.0
gene440,1,0.0
gene441,1,0.00390625
gene442,1,0.0
gene443,1,0.0
gene444,1,0.0
gene445,1,0.03515625
gene446,1,0.0
gene448,1,0.0
gene449,1,0.0
gene451,1,0.00390625
gene453,1,0.0
gene457,1,0.0
gene460,1,0.0
gene463,1,0.0
gene466,1,0.0
gene473,1,0.0
gene476,1,0.0
gene477,1,0.0
gene479,1,0.0
gene480,1,0.0
gene482,1,0.0
gene483,1,0.0
gene485,1,0.0
gene49,1,0.0
gene490,1,0.0
