Symbol,preds,p
gene103,1,0.0
gene106,1,0.01171875
gene107,1,0.0078125
gene108,1,0.03515625
gene109,1,0.0390625
gene119,1,0.0234375
gene124,1,0.03125
gene128,1,0.01171875
gene129,1,0.01171875
gene130,1,0.00390625
gene131,1,0.0078125
gene135,1,0.0
gene140,1,0.03515625
gene141,1,0.0078125
gene142,1,0.0078125
gene148,1,0.01171875
gene149,1,0.00390625
gene15,1,0.00390625
gene152,1,0.03125
gene153,1,0.0078125
gene154,1,0.0390625
gene156,1,0.00390625
gene16,1,0.01953125
gene162,1,0.03515625
gene165,1,0.0390625
gene168,1,0.046875
gene17,1,0.01171875
gene172,1,0.0390625
gene174,1,0.0078125
gene18,1,0.00390625
gene183,1,0.04296875
gene184,1,0.0390625
gene185,1,0.02734375
gene188,1,0.0
gene19,1,0.015625
gene193,1,0.046875
gene195,1,0.0234375
gene197,1,0.02734375
gene198,1,0.01171875
gene20,1,0.0390625
gene204,1,0.01953125
gene207,1,0.00390625
gene209,1,0.00390625
gene21,1,0.0390625
gene217,1,0.01171875
gene219,1,0.02734375
gene223,1,0.0078125
gene224,1,0.01953125
gene227,1,0.01171875
gene23,1,0.04296875
gene230,1,0.00390625
gene231,1,0.0078125
gene234,1,0.0234375
gene235,1,0.01953125
gene236,1,0.03515625
gene237,1,0.0078125
gene242,1,0.03125
gene247,1,0.0078125
gene251,1,0.0234375
gene255,1,0.0078125
gene257,1,0.03125
gene263,1,0.01953125
gene266,1,0.015625
gene268,1,0.00390625
gene271,1,0.03515625
gene272,1,0.03515625
gene273,1,0.0234375
gene275,1,0.0078125
gene276,1,0.00390625
gene277,1,0.0078125
gene283,1,0.02734375
gene284,1,0.0234375
gene285,1,0.00390625
gene286,1,0.01171875
gene287,1,0.0390625
gene291,1,0.046875
gene293,1,0.01953125
gene299,1,0.01171875
gene301,1,0.0390625
gene302,1,0.015625
gene305,1,0.03125
gene309,1,0.046875
gene310,1,0.0390625
gene314,1,0.03125
gene315,1,0.0234375
gene317,1,0.0078125
gene320,1,0.00390625
gene325,1,0.03125
gene327,1,0.00390625
gene33,1,0.0234375
gene332,1,0.04296875
gene336,1,0.046875
gene337,1,0.00390625
gene339,1,0.0078125
gene343,1,0.02734375
gene344,1,0.046875
gene345,1,0.01171875
gene347,1,0.01171875
gene349,1,0.01953125
gene355,1,0.0234375
gene358,1,0.0234375
gene359,1,0.03125
gene360,1,0.03125
gene361,1,0.01953125
gene362,1,0.015625
gene364,1,0.00390625
gene365,1,0.01953125
gene366,1,0.04296875
gene367,1,0.046875
gene371,1,0.01953125
gene373,1,0.0078125
gene374,1,0.03515625
gene377,1,0.0
gene378,1,0.03125
gene386,1,0.01171875
gene387,1,0.0078125
gene388,1,0.015625
gene389,1,0.0078125
gene390,1,0.0234375
gene40,1,0.03125
gene400,1,0.03515625
gene401,1,0.0
gene403,1,0.01171875
gene408,1,0.0
gene415,1,0.01171875
gene416,1,0.01953125
gene421,1,0.015625
gene424,1,0.015625
gene427,1,0.0078125
gene428,1,0.0390625
gene429,1,0.00390625
gene431,1,0.046875
gene432,1,0.00390625
gene433,1,0.015625
gene439,1,0.01953125
gene44,1,0.03515625
gene440,1,0.01171875
gene441,1,0.0234375
gene444,1,0.046875
gene446,1,0.01953125
gene447,1,0.04296875
gene45,1,0.0390625
gene452,1,0.02734375
gene454,1,0.02734375
gene462,1,0.0390625
gene468,1,0.0
gene469,1,0.00390625
gene470,1,0.01171875
gene472,1,0.03125
gene477,1,0.01171875
gene478,1,0.0078125
gene480,1,0.02734375
gene487,1,0.015625
gene489,1,0.03515625
gene49,1,0.01171875
gene497,1,0.046875
gene498,1,0.02734375
gene499,1,0.03515625
gene5,1,0.00390625
gene50,1,0.03515625
gene502,1,0.0234375
gene505,1,0.01171875
gene506,1,0.01953125
gene510,1,0.00390625
gene511,1,0.0234375
gene514,1,0.0078125
gene517,1,0.02734375
gene520,1,0.0390625
gene522,1,0.03515625
gene527,1,0.015625
gene529,1,0.03125
gene53,1,0.03515625
gene531,1,0.0
gene534,1,0.0078125
gene539,1,0.03125
gene54,1,0.00390625
gene540,1,0.01171875
gene542,1,0.015625
gene543,1,0.0390625
gene546,1,0.0390625
gene549,1,0.03125
gene550,1,0.04296875
gene558,1,0.02734375
gene559,1,0.04296875
gene56,1,0.04296875
gene566,1,0.0
gene569,1,0.015625
gene57,1,0.00390625
gene572,1,0.04296875
gene573,1,0.046875
gene574,1,0.0390625
gene576,1,0.0078125
gene58,1,0.0390625
gene580,1,0.01171875
gene581,1,0.0390625
gene582,1,0.015625
gene586,1,0.02734375
gene587,1,0.0078125
gene59,1,0.0078125
gene593,1,0.0
gene596,1,0.04296875
gene597,1,0.0
gene598,1,0.00390625
gene6,1,0.015625
gene60,1,0.00390625
gene600,1,0.01953125
gene603,1,0.015625
gene610,1,0.03515625
gene611,1,0.03125
gene616,1,0.01171875
gene617,1,0.0234375
gene618,1,0.03515625
gene62,1,0.0
gene620,1,0.0078125
gene629,1,0.04296875
gene63,1,0.0
gene630,1,0.02734375
gene635,1,0.0234375
gene636,1,0.00390625
gene65,1,0.02734375
gene654,1,0.01171875
gene66,1,0.02734375
gene661,1,0.0078125
gene663,1,0.03515625
gene665,1,0.0390625
gene669,1,0.03125
gene670,1,0.01953125
gene671,1,0.00390625
gene678,1,0.03515625
gene679,1,0.0078125
gene680,1,0.046875
gene681,1,0.0390625
gene683,1,0.015625
gene685,1,0.015625
